Folder	CrystalPredictor_Ulatt(kJ/mol)	CrystalPredictor_Density(g/cm3)
1	-71.7769	1.4059
2	-71.7707	1.4655
3	-70.8973	1.3969
4	-70.4093	1.3120
5	-70.3494	1.3513
6	-70.2507	1.4059
7	-70.2479	1.3899
8	-70.1534	1.3677
9	-69.9862	1.3867
10	-68.9269	1.4022
11	-68.9160	1.3411
12	-68.8633	1.3102
13	-68.6928	1.3218
14	-68.3586	1.3726
15	-68.1427	1.3313
16	-68.0550	1.3922
17	-67.9824	1.3910
18	-67.2780	1.3482
19	-67.1933	1.3110
20	-67.1017	1.3766
21	-67.0875	1.2960
22	-67.0455	1.3161
23	-66.9049	1.2932
24	-66.8714	1.3218
25	-66.8681	1.3182
26	-66.7740	1.3107
27	-66.7401	1.2905
28	-66.5182	1.2963
29	-66.0792	1.3552
30	-66.0562	1.3551
31	-65.9357	1.3282
32	-65.9339	1.2891
33	-65.9289	1.3959
34	-65.9289	1.3235
35	-65.9165	1.3544
36	-65.7731	1.3198
37	-65.5138	1.3207
38	-65.5110	1.3484
39	-65.5016	1.2923
40	-65.4921	1.3440
41	-65.4899	1.3173
42	-65.3183	1.3140
43	-65.3098	1.3557
44	-65.1090	1.2822
45	-65.0975	1.3338
46	-64.8884	1.3676
47	-64.8784	1.2934
48	-64.7736	1.3691
49	-64.6673	1.3275
50	-64.6144	1.2946
51	-64.5850	1.3642
52	-64.4919	1.2919
53	-64.3896	1.2964
54	-64.3521	1.2942
55	-64.3298	1.3293
56	-64.2704	1.3754
57	-64.2026	1.3303
58	-64.1040	1.3041
59	-64.1038	1.3802
60	-64.0840	1.2924
61	-63.9954	1.3001
62	-63.9061	1.2715
63	-63.8277	1.3168
64	-63.7694	1.3983
65	-63.7344	1.3488
66	-63.6581	1.2837
67	-63.6247	1.3545
68	-63.5616	1.2869
69	-63.5548	1.2735
70	-63.5392	1.3108
71	-63.4854	1.2949
72	-63.4702	1.3427
73	-63.4019	1.3629
74	-63.2777	1.3141
75	-63.2637	1.3518
76	-63.1896	1.3476
77	-63.0993	1.3069
78	-63.0632	1.2715
79	-63.0505	1.2878
80	-62.9775	1.2941
81	-62.9748	1.3121
82	-62.9574	1.3488
83	-62.9307	1.2459
84	-62.8638	1.2801
85	-62.8094	1.2802
86	-62.8092	1.2802
87	-62.7997	1.2704
88	-62.7922	1.3580
89	-62.7534	1.2685
90	-62.7412	1.3695
