Temperature (K)   DeltaA (kJ/mol)
0.0                7.680760
20.0               7.652660
40.0               7.531660
60.0               7.366860
80.0               7.184360
100.0              6.993060
120.0              6.796960
140.0              6.597660
160.0              6.396360
180.0              6.193660
200.0              5.990060
220.0              5.785660
240.0              5.580560
260.0              5.375160
280.0              5.169260
300.0              4.963160
320.0              4.756760
340.0              4.550160
360.0              4.343260
380.0              4.136260
400.0              3.929260
