Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2800200.00 29560.3809 4077.25195 1672.69861 1344.48096 4774.91504 1360.48755 28.6201687 -5.75496769 31.1804848 -75.8071899
2800400.00 29560.3809 3528.34009 1603.90015 1289.84875 4414.84375 1309.66797 25.2066212 -5.75496769 30.7703362 -75.7962494
2800600.00 29560.3809 2848.41943 1708.29004 1252.92810 4189.19434 1288.08276 9.90435314 -5.75496769 30.7707672 -75.8298492
2800800.00 29560.3809 3440.06030 1727.74829 1267.80127 4478.58643 1292.45764 20.3393059 -5.75496769 30.8214207 -75.8170090
2801000.00 29560.3809 3743.52417 1658.48999 1196.23315 4468.58594 1234.28906 7.02564287 -5.75496769 30.7172546 -75.7988892
2801200.00 29560.3809 5004.62744 1700.83411 1246.71716 5105.08545 1283.96021 7.49472380 -5.75496769 31.0550289 -75.7927704
2801400.00 29560.3809 4940.90918 1736.40405 1230.69580 5097.16455 1267.35510 7.95061111 -5.75496769 31.1698513 -75.7797775
2801600.00 29560.3809 5192.66748 1639.76514 1225.57776 5103.94238 1255.36133 14.8248463 -5.75496769 31.1723595 -75.7807236
2801800.00 29560.3809 4047.89233 1745.54041 1206.64990 4697.26855 1249.11560 1.94028091 -5.75496769 31.3620148 -75.7680359
2802000.00 29560.3809 4786.61133 1648.55164 1268.55273 4980.64990 1291.09277 21.8856525 -5.75496769 31.3140125 -75.7397079
2802200.00 29560.3809 5262.14648 1737.21680 1271.47937 5277.24902 1298.84412 17.2717266 -5.75496769 31.0575676 -75.6939163
2802400.00 29560.3809 5440.29102 1657.87402 1299.82129 5303.04736 1331.43018 13.0768681 -5.75496769 31.0586491 -75.7444458
2802600.00 29560.3809 5118.56689 1667.45349 1246.08276 5120.19092 1275.71436 15.3852472 -5.75496769 30.7417412 -75.7584991
2802800.00 29560.3809 4264.22852 1658.69055 1301.12500 4798.15771 1336.01050 10.3936033 -5.75496769 30.5183487 -75.7975235
2803000.00 29560.3809 4161.88965 1669.56592 1233.64697 4697.43604 1273.58191 5.34740114 -5.75496769 30.5280743 -75.8103714
2803200.00 29560.3809 4073.17969 1611.20203 1277.59460 4644.77637 1325.87061 -3.29661798 -5.75496769 30.8842087 -75.8636093
2803400.00 29560.3809 4985.95752 1710.28406 1276.83496 5136.60449 1305.67896 15.9409876 -5.75496769 31.0726547 -75.8575974
2803600.00 29560.3809 4613.78369 1642.62244 1261.30811 4892.96875 1289.33081 16.8204384 -5.75496769 30.9725761 -75.8157806
2803800.00 29560.3809 3539.14014 1681.97351 1212.84229 4420.56689 1231.37488 26.4368286 -5.75496769 30.8434219 -75.8128357
2804000.00 29560.3809 1945.57703 1655.72034 1303.97815 3798.45190 1316.75244 32.1657486 -5.75496769 30.8811283 -75.8211288
