Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2900200.00 27590.8789 5174.59668 1663.02942 1447.03540 5192.24316 1277.90881 213.985550 -6.16577101 31.5218468 -76.3808517
2900400.00 27590.8789 5951.91992 1676.16138 1424.34021 5495.46289 1233.72266 235.184250 -6.16577101 31.7833176 -76.3500671
2900600.00 27590.8789 6407.75342 1697.33765 1463.96069 5739.68018 1290.96814 217.861557 -6.16577101 31.5024548 -76.3715363
2900800.00 27590.8789 6725.39307 1683.50024 1480.18079 5869.87598 1315.00366 210.241776 -6.16577101 31.3274536 -76.3921661
2901000.00 27590.8789 5763.42969 1648.86096 1413.02820 5381.00488 1248.11670 210.022629 -6.16577101 31.2670479 -76.3781128
2901200.00 27590.8789 5248.70312 1649.80334 1514.91187 5276.71289 1327.19604 232.620163 -6.16577101 31.4262924 -76.3305664
2901400.00 27590.8789 5140.68457 1660.55188 1454.34692 5183.43164 1305.35950 194.137253 -6.16577101 31.1922474 -76.3420792
2901600.00 27590.8789 6216.38916 1623.11560 1396.31580 5520.81104 1224.90759 216.452545 -6.16577101 31.2743378 -76.3186722
2901800.00 27590.8789 6806.52246 1696.82788 1456.96875 5892.63672 1271.54016 230.954437 -6.16577101 30.8564816 -76.3824768
2902000.00 27590.8789 7488.50488 1690.54749 1425.37573 6129.18262 1255.68762 215.385025 -6.16577101 30.6734715 -76.3703918
2902200.00 27590.8789 7219.37793 1659.43164 1449.65564 6014.05420 1306.52478 188.649307 -6.16577101 30.8953419 -76.4138947
2902400.00 27590.8789 7383.60449 1735.41235 1452.83936 6159.30078 1276.60742 222.125076 -6.16577101 30.5379658 -76.4310074
2902600.00 27590.8789 6338.96826 1671.03015 1437.39417 5659.12793 1281.85535 201.100372 -6.16577101 30.8615494 -76.4230042
2902800.00 27590.8789 7169.06396 1709.09949 1496.46741 6090.28809 1297.04260 244.718475 -6.16577101 31.1331692 -76.4268417
2903000.00 27590.8789 6506.59277 1723.41064 1466.23218 5807.79590 1322.01245 189.510925 -6.16577101 31.1308765 -76.4221420
2903200.00 27590.8789 6091.14893 1706.82922 1390.28955 5548.10352 1254.44714 181.166718 -6.16577101 31.0355816 -76.3600388
2903400.00 27590.8789 5912.01123 1695.81006 1479.55811 5554.27051 1321.44629 203.618896 -6.16577101 30.8164845 -76.3236313
2903600.00 27590.8789 6796.29346 1710.04285 1446.09766 5890.86475 1311.46338 180.241425 -6.16577101 30.7508583 -76.3581390
2903800.00 27590.8789 6552.81592 1672.25574 1441.94958 5750.95801 1300.62451 186.809998 -6.16577101 30.8625546 -76.3474808
2904000.00 27590.8789 6179.35986 1681.84875 1445.43726 5613.76562 1309.41846 181.257904 -6.16577101 31.0530643 -76.2922592
2904200.00 27590.8789 5426.68945 1641.55005 1443.83752 5269.00391 1318.24866 171.090454 -6.16577101 30.8650894 -76.3666687
2904400.00 27590.8789 7091.68213 1705.80115 1488.21790 6047.60303 1319.27722 214.387421 -6.16577101 30.9433384 -76.3900528
2904600.00 27590.8789 7105.55469 1662.89966 1489.13831 6011.20410 1314.59863 219.720657 -6.16577101 31.2035561 -76.3844604
2904800.00 27590.8789 5639.90479 1654.61060 1464.96423 5388.98633 1321.39819 188.847366 -6.16577101 31.1043587 -76.3856812
2905000.00 27590.8789 4368.37598 1696.10498 1483.77734 4937.64990 1335.04700 193.625458 -6.16577101 31.4731865 -76.3683243
2905200.00 27590.8789 4780.44043 1690.65027 1401.69153 5015.91797 1212.99780 233.484634 -6.16577101 31.5881233 -76.3790894
2905400.00 27590.8789 5596.26221 1747.04492 1424.90771 5423.80273 1260.61584 209.259796 -6.16577101 31.3994255 -76.3672638
2905600.00 27590.8789 6325.79102 1682.62659 1469.10815 5697.13623 1279.50610 234.864594 -6.16577101 31.1335049 -76.3960037
2905800.00 27590.8789 6497.93359 1699.72009 1436.17676 5750.56592 1286.68140 194.187271 -6.16577101 31.6326237 -76.3244705
2906000.00 27590.8789 6344.16455 1696.43066 1452.17566 5701.40088 1295.08020 201.830185 -6.16577101 31.6170921 -76.3518906
2906200.00 27590.8789 6918.71484 1694.34924 1435.04688 5913.38086 1263.79260 215.896088 -6.16577101 31.7039070 -76.3456268
2906400.00 27590.8789 5686.40479 1623.60938 1477.29822 5389.02930 1296.67249 225.549683 -6.16577101 31.4157505 -76.3397980
2906600.00 27590.8789 5963.64941 1668.70496 1538.07324 5606.45898 1365.95105 217.271606 -6.16577101 31.2066822 -76.3561935
2906800.00 27590.8789 4621.40039 1659.09875 1458.32031 4976.99951 1303.23328 200.572174 -6.16577101 30.9357166 -76.4208832
2907000.00 27590.8789 4236.84961 1676.89465 1406.42847 4788.16650 1299.19495 152.670868 -6.16577101 30.9629211 -76.4002838
2907200.00 27590.8789 5556.97559 1700.16284 1447.07385 5383.27832 1277.33459 214.864273 -6.16577101 31.2492962 -76.3743362
2907400.00 27590.8789 7278.84131 1778.87732 1449.00867 6156.78027 1290.74475 203.149246 -6.16577101 31.4811153 -76.3663864
2907600.00 27590.8789 7551.55127 1669.44348 1457.23096 6165.30322 1269.25122 233.220535 -6.16577101 31.1127052 -76.3533707
2907800.00 27590.8789 7589.43506 1715.18152 1454.25745 6223.31152 1275.71033 223.012985 -6.16577101 31.8728046 -76.3385544
2908000.00 27590.8789 6961.52881 1768.61890 1491.67554 6061.50684 1310.67346 225.873108 -6.16577101 31.4934578 -76.3645096
2908200.00 27590.8789 7231.41455 1673.33179 1455.70764 6038.84961 1288.60181 212.027557 -6.16577101 31.4135284 -76.3353348
2908400.00 27590.8789 5847.58740 1672.04443 1431.22046 5456.24414 1312.23059 164.037415 -6.16577101 31.2788925 -76.3265076
2908600.00 27590.8789 6541.75391 1740.82275 1477.47754 5850.60156 1309.66382 212.913300 -6.16577101 31.2033768 -76.3028641
2908800.00 27590.8789 6107.34912 1638.70398 1475.35071 5571.55811 1279.86426 240.552307 -6.16577101 31.2265015 -76.2923431
2909000.00 27590.8789 6775.92969 1716.55371 1464.12292 5907.20703 1291.24915 217.808029 -6.16577101 31.3156662 -76.2500076
2909200.00 27590.8789 6410.23389 1738.61438 1421.02502 5739.01904 1278.79065 187.474991 -6.16577101 31.0495090 -76.2901001
2909400.00 27590.8789 6708.41943 1631.92896 1453.34180 5784.63623 1308.89233 189.111023 -6.16577101 31.6647243 -76.3262253
2909600.00 27590.8789 6802.92627 1723.41638 1458.56836 5919.37793 1293.72705 209.349625 -6.16577101 31.7775574 -76.2859116
2909800.00 27590.8789 6063.40771 1715.51733 1421.30664 5576.64648 1277.80591 188.140869 -6.16577101 31.6428032 -76.2828598
2910000.00 27590.8789 5744.91748 1661.76123 1422.42468 5395.85254 1274.93262 191.729294 -6.16577101 32.0491333 -76.2863998
2910200.00 27590.8789 6848.66895 1722.72864 1474.56165 5953.08984 1314.82104 204.208313 -6.16577101 31.8006077 -76.2681808
2910400.00 27590.8789 6939.91113 1694.81104 1430.91321 5918.23828 1278.14600 197.624405 -6.16577101 31.4180946 -76.2753220
2910600.00 27590.8789 7355.94336 1696.90344 1440.83093 6097.65332 1280.66541 204.877655 -6.16577101 31.5583401 -76.2705078
2910800.00 27590.8789 6821.12012 1798.71045 1420.93652 5964.36084 1289.83435 176.086853 -6.16577101 31.2747917 -76.2594452
2911000.00 27590.8789 6190.09277 1673.90015 1405.89380 5570.59229 1296.66382 154.114532 -6.16577101 31.4201145 -76.3046875
2911200.00 27590.8789 5085.52490 1695.62476 1365.75281 5107.71484 1257.45056 153.056152 -6.16577101 31.5482903 -76.3022537
2911400.00 27590.8789 5910.15283 1725.76416 1460.49390 5564.41309 1321.62048 183.653793 -6.16577101 31.5180874 -76.2985077
2911600.00 27590.8789 5420.99609 1620.23450 1505.79846 5307.35889 1342.81128 207.801559 -6.16577101 31.4702854 -76.2847290
2911800.00 27590.8789 5327.15283 1653.85864 1452.34436 5249.76758 1297.10730 199.786346 -6.16577101 31.7268448 -76.2761154
2912000.00 27590.8789 4938.66309 1692.52014 1335.48206 5015.24463 1210.35864 169.860275 -6.16577101 31.5733871 -76.3103027
2912200.00 27590.8789 5137.97559 1699.59448 1455.36389 5222.40088 1285.17346 214.962814 -6.16577101 31.5312099 -76.3036041
2912400.00 27590.8789 4868.48682 1662.63416 1535.41956 5157.05811 1345.48621 234.628647 -6.16577101 31.5851116 -76.2804642
2912600.00 27590.8789 3586.33398 1743.84033 1498.50500 4685.43115 1361.84863 181.310684 -6.16577101 31.6578579 -76.3121948
